Sr. no.,Tweets,Scores,Category
379,heading to work take an ola share staing at just rs3km easy on the wallet and the planet book now,0.23,Positive
380,hey folks so how did you reach work today,0.2,Positive
381,and all the while doing your bit for the environment thanks for the shoutout abhishek,0.2,Positive
382,while you celebratewewillwait book ola rental on hourly packages for more convenience for offers click on,0.11,Positive
383,need a ride ask siri to book you an ola get the latest version of the ola app and ios10 and let siri take it from there sirigetsola,0,Neutral
384,"anyone here interested in tickets for bollywoodmusicproject cool contest coming up for our folks in mumbai
give us a few s to sta",0.27,Positive
385,"show us a video of you singing arijitsingh or badshah songs well pick the best crooner as the winners
bmpwithola bollywoodmusicproject",0.23,Positive
386,hyderabad take an ola ride amp get 85 discount on the apollo cardiovascular check upolaprivileges worldheaday,0,Neutral
387,sure,0,Neutral
388,were overjoyed to hear that you had an awesome experience shirish dont forget to share your photos olaoutstation,0.1,Positive
389,congratsandyouve won yourselves tickets to the bollywoodmusicproject please check your dm bmpwithola,0.29,Positive
390,"we have a few ipadminifor ourusers interested 

 this to get the contest staed",0.17,Positive
391,"contest ale win an ipadmini with


ready",0.4,Positive
392,wish there were a few things in life that you could do basekbaar amp forget abouttell us about 2 such things amp best answers win ipadmini,0.077,Positive
393,set up your credit card forautorecharge amp never worry about running out of money on your cab rides activate now basekbaar,-0.071,Negative
394,"you win woot woot

please send us your name and postal address basekbaar",0.22,Positive
395,"an ipad mini is coming to you please send us your full name phone number and postal address
basekbaar",0.17,Positive
396,set up the autorecharge feature withbasekbaar and never run out of balance for your cab rides again activate now,0.091,Positive
397,win couple passes to the pushpanjali navratri utsav 2016 in mumbai falguni pathak to perform live details,0.083,Positive
398,remembering mahatma gandhi on his 147th bih anniversary lets continue on the path of truth amp non violence shown by him gandhijayanti,0.14,Positive
399,"6 months too late for the last one 6 months too soon for the next foolsday
",0,Neutral
400,"6 months too late for the last one 6 months too soon for the next foolsday
",0,Neutral
401,"fly to mysoredasara festival in a special jet plane tag a friend with whom you want to flywithola and win 
sta the tagging now",0.21,Positive
402,find out more here,0,Neutral
403,haha unfounately it only works the other way round tag that special person and you may win,0.3,Positive
404,awesome dheeraj is this your first visit to mysoredasara,0.2,Positive
405,it will definitely be fun flywithola,0.5,Positive
406,yes akshay flywithola,0,Neutral
407,awesome good luckflywithola,0.67,Positive
408,first few to fly to be a pa of mysoredasara celebrations flywithola,0.2,Positive
409,thanks vrushank we have a solution for using your credit card try olamoneys auto recharge,0.2,Positive
410,"finish this newagejoke 
",0,Neutral
411,hey hyderabad use code work50 amp get 50 off on your olaprime or olamini rides between 11am amp 5pm happyhours,0.17,Positive
412,thanks for the shout out vijay stay awesome and have a fabulous week ahead,0.38,Positive
413,excited to flywitholaour customers vinit and archana on their way to mysoredasara festival,0.25,Positive
414,ready for the takeoff flywithola mysoredasara,0.25,Positive
415,touchdown at mysore flywithola,0,Neutral
416,this gorgeous machine is flying our customers to mysoredasara everyday you could be here next flywithola,0.12,Positive
417,experience royalty at mysurudasara come flywithola,0.2,Positive
418,congrats piyush youre gonna flywithola to mysoredasara wish you and your friend an awesome time at mysore,0.27,Positive
419,pre book your iphone7 and arrive in style with olalux amp olaprime on the day of the launch,0,Neutral
420,hope you have a spectacular flighthave funflywithola,0.5,Positive
421,"this navratri while you dance to the dandiya beats wewillwait
book your ola rental today",0,Neutral
422,this navratri book an olarental amp use the code rentals to get upto 400 cashback detailswewillwait,0.18,Positive
423,pune the donate icon is now available on your ola app donate your unused books toys amp games and bring joy to a classroom joyofgiving,0.059,Positive
424,hey pune bring some life back into your unused books toys games by donating them to a classroom donate using your ola app joyofgiving,0,Neutral
425,"everybody is taking an olashare join the fun and take an ola share staing at just 3km

easy on the wallet and the planet",0.23,Positive
426,thanks hitesh,0.5,Positive
427,from the scorching sands of the thar dese to the cooling coffee estates of coorgola outstation the cab that takes you places,0,Neutral
428,were committed to making commute on indian roads a safer and hassle free experience for all lets do this together,0.18,Positive
429,we think the words youre looking for are fiscallysma and conscientious,0.17,Positive
430,enjoying mysoredasara festivities open the ola app amp click on the tonga icon for your complimentary ridemysore,0.33,Positive
431,a family an ambulance and a terrible traffic jam sometimes we dont like what we see but it paves way for change givewaygivelife,-0.077,Negative
432,this is newtonga in mysore,0,Neutral
433,hats off to you for helping make way for ambulance and saving lives day in and day out givewaygivelife,0.3,Positive
434,"thank youfor making way for ambulances in mumbai you help save lives everyday 
givewaygivelife",0.36,Positive
435,wishing you all the happiness and fulfillment of all your dreams happy dussehra to each one of you from ola,0.38,Positive
436,rolls out a heawarming campaign urging people to givewaygivelife,0,Neutral
437,dhonnobad hope this can reach as many people and stimulate a change,0.25,Positive
438,"magical things happen when people care click here to know more
source india today 
givewaygivelife",0.091,Positive
439,what do you do when you see an ambulance in your rearview mirror givewaygivelife,0,Neutral
440,steering through the isles of sensitivity and sarcasmweaves in a hardhitting message givewaygivelife,0.14,Positive
441,very osm sir,0,Neutral
442,thanks for spreading the wordgivewaygivelife,0.33,Positive
443,well saidone small act of responsibility can save lives givewaygivelife,0.44,Positive
444,happy to be a pa of this great road safety initiative respecttheroad and make it safer wisechoice,0.22,Positive
445,"the best coming together to give you the best
join us
bangalore kingfisheroctoberfest steppinoutfoodfestival soff16",0.4,Positive
446,thanks for spreading the wordgivewaygivelife,0.33,Positive
447,motorcycle ambulances save lives in the remote areas of chattisgarh kudos on the great innovationgivewaygivelife,0.4,Positive
448,"give your hands a break try booking an ola cab with siri handsfree
now also book your ola ride on apple watch have fun sirigetsola",0,Neutral
449,couesy our good friends athere’s a dining extravaganza you don’t want to miss read more,0.1,Positive
450,"we know that some conversations never end and they shouldnt have to
carry on wewillwait olarental",0,Neutral
451,google search gets ola now search for your destination on google amp book a cab from the results pagegsearchgetsola,0,Neutral
452,welcome to the primelife arun,0.33,Positive
453,as others have mentioned below it is really the drivers choice also,0,Neutral
454,way to go apu with your act of selflessness you have made the world a better place were proud of you,0.22,Positive
455,"stay ahead of the spoilerkingget your own primeride 
olaprimewifi",0,Neutral
456,our olalux customers deserve the best in luxury mobility what do you think we should do,0.43,Positive
457,"the pinnacle of luxury now on ola lux welcome on board


olaluxgetsbmw",0.38,Positive
458,"dos amp donts for olashare users
do update your app go to your profile amp check out your sharepass
dont buy it today waitfoomo",0,Neutral
459,have you bought the sharepass yet,0,Neutral
460,"wondering what an ola sharepass is 

its your very own magic pass that lets you take a share ride anywhere in your city at a flat rate",0.077,Positive
461,update your ola app and head to the profile section to see the magic unfold sharepass,0.1,Positive
462,with sharepass always pay a flat rate for your share ride never bother about fares increasing with demand keep calm amp take a share ride,0,Neutral
463,"this diwali great offers on ola money and share pass coming your way
head here for more details 
olaappinessweek",0.083,Positive
